timestamp,action,trader,portfolio,coin,direction,baseId,entrySize,leverage,hlSize,reason,detail
2026-08-17T18:39:02.227Z,skip,crypto_rocket,Main,CASHCAT,short,76f9fd6c-200d-4f39-93e0-f000f24501b6,0.9996939780133207,3,,HL order failed: Order could not immediately match against any resting orders. asset=209,
2026-08-17T18:55:24.242Z,alert,,,,,,,,,SKIP crypto_rocket/Main NIL short 5f371c9a-262b-453e-b9f1-bad1918e8612: HL order failed: Order must have minimum value of $10. asset=164,
2026-08-17T18:55:24.242Z,skip,crypto_rocket,Main,NIL,short,5f371c9a-262b-453e-b9f1-bad1918e8612,0.9999485013900529,3,,HL order failed: Order must have minimum value of $10. asset=164,
2026-08-17T18:57:39.722Z,resize,archiduc,Scalp Company,BTC,short,f7a9e8c8-4e2e-45ef-99ec-b64f6352204f,2.0045354134682905,,0.00032,,delta=+0.00016
2026-08-17T19:02:28.678Z,alert,,,,,,,,,SKIP crypto_rocket/Main NIL short 5f9d71de-19ef-40a8-b68e-e41a26175629: HL order failed: Order must have minimum value of $10. asset=164,
2026-08-17T19:02:28.680Z,skip,crypto_rocket,Main,NIL,short,5f9d71de-19ef-40a8-b68e-e41a26175629,1.0000387747399186,3,,HL order failed: Order must have minimum value of $10. asset=164,
2026-08-17T19:02:31.342Z,resize,crypto_rocket,Main,BTC,short,0129859f-b335-41c0-96dc-a8e3df8dc2ca,1.1305791453337724,,0.00017999999999999998,,delta=-0.0004
2026-08-17T19:03:04.638Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:03:25.107Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:03:45.507Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:04:05.674Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:04:25.782Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:04:46.045Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:05:06.163Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:05:09.642Z,open,crypto_rocket,Main,NIL,short,defec724-2f86-49c4-9e17-7bf093882784,2.0001866530588193,3,389,,oid=57976363538 notional=$19.87 pct=$19.89
2026-08-17T19:05:29.487Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
2026-08-17T19:05:49.532Z,alert,,,,,,,,,Resize failed BTC 0129859f-b335-41c0-96dc-a8e3df8dc2ca: Order must have minimum value of $10. asset=3,
